1_name_b;n/a
1_name_lt;Frio
1_name_sa;TEST
1_tooltip_lt;No início do turno de quem usou esta carta, causa {Damage} de dano à unidade com mais poder nesta fileira.
10_name_b;Ignore.
10_name_sa;Ignore.
100_fluff;Nem todos no Continente decidem seguir reis, rainhas, duques e imperadores. No entanto, isto não quer dizer que não podem ser persuadidos por uma bolsa pesada de moedas. Todos têm o seu preço, afinal.
100_name;Neutras
101_fluff;Legiões de monstros horrendos, do carniçal-atroz ao zeugl. Todos tremem diante deles, tanto nórdicos quanto nilfgaardianos.
101_name;Monstros
102_fluff;O poderoso Império Nilfgaardiano não vai parar até suas bandeiras pretas e douradas tremularem em todo o Continente. Se os últimos anos indicam alguma coisa, talvez sejam bem-sucedidos muito em breve.
102_name;Nilfgaard
1024_name_lt;Sonho do Dragão
1024_tooltip_lt;No início do turno de quem usou esta carta, quando o tempo acaba, causa {Damage} de dano a todas as unidades nesta fileira.
103_fluff;Reinos, ducados, fronteiras... Os territórios do Norte são numerosos e variados. Mesmo assim, eles não têm tempo para conflitos internos, pois o poderio do Império Nilfgaardiano merece sua atenção total.
103_name;Reinos do Norte
104_fluff;Rebeldes que lutam pelos direitos de não-humanos. Eles não serão detidos por nada para alcançarem seu objetivo, transformando as florestas do Continente em campos de batalha... e cemitérios.
104_name;Scoia'tael
105_fluff;Guerreiros ferozes que não temem a morte nem o frio. Mesmo assim, eles têm suas fraquezas... hidromel, música e rolar no palheiro.
105_name;Skellige
106_fluff;Ignore.
106_name;Ignore.
11_name_b;Ignore.
11_name_sa;Ignore.
112101_fluff;Eu vou aonde eu quiser, a hora que eu quiser.
112101_name;Ciri
112101_tooltip;<keyword=deploy>Mobilização</keyword>: causa {Damage} de dano a {MaxTargets} unidades inimigas.\nSempre que você perde uma rodada, devolve esta unidade para a sua mão.
112102_fluff;O movimento dos dedos de um bruxo pode acender uma lâmpada... ou incinerar um inimigo.
112102_name;Geralt: Igni
112102_tooltip;<keyword=deploy>Mobilização</keyword>: destrói as unidades de poder mais alto em uma fileira inimiga com um total de {Power2} ou mais de poder.\n<keyword=initiative>Iniciativa</keyword>: destrói as unidades de poder mais alto em uma fileira inimiga com um total de {Power} ou mais de poder em vez disso.
112103_fluff;Se isso for o que é preciso para salvar o mundo, é melhor deixá-lo morrer.
112103_name;Geralt de Rívia
112103_tooltip;<keyword=deploy>Mobilização</keyword>: destrói uma unidade inimiga com {power} de poder ou mais.
112104_fluff;Alguns acham que sou um monstro. Um monstro selvagem e sanguinário.
112104_name;Regis
112104_tooltip;<keyword=deploy>Mobilização</keyword>: causa {Damage} de dano a todas as unidades na fileira inimiga.\n<keyword=initiative>Iniciativa</keyword>: se uma das unidades é destruída, repete esta habilidade.
112105_fluff;Ele fica invisível quando quer. Seu olhar hipnotiza em sono profundo. Ele então bebe a sua bebida, se transforma em morcego e voa. Tudo muito rude.
112105_name;Regis: Vampiro Ancião
112105_tooltip;<keyword=order>Ordem</keyword> (<keyword=melee>Corpo a corpo</keyword>): <keyword=drain>drena</keyword> de um inimigo um valor igual ao seu reforço.
112106_fluff;Posso cuidar de mim mesma. Creia-me.
112106_name;Triss Merigold
112106_tooltip;<keyword=deploy>Mobilização</keyword> (<keyword=ranged>Longa distância</keyword>): <keyword=reveal>revela</keyword> uma unidade aleatória do seu baralho e causa dano a uma unidade inimiga equivalente ao seu poder.
112107_fluff;Também é conhecido como Borkh Três Gralhas... Ele não é muito bom com nomes.
112107_name;Villentretenmerth
112107_tooltip;Após {Counter} turnos de aliados, no fim do turno, destrói a unidade mais alta no campo de batalha, com exceção de si mesma.
112108_fluff;A magia é caos, arte e ciência. É uma maldição, uma bênção e um avanço.
112108_name;Yennefer
112108_tooltip;<keyword=deploy>Mobilização</keyword> (<keyword=melee>Corpo a corpo</keyword>): causa {Damage} a todas as outras unidades. \n<keyword=deploy>Mobilização</keyword> (<keyword=ranged>Longa distância</keyword>): reforça todas as outras unidades em {Boost}.
112109_fluff;Perdão. Meu animalzinho exótico é um pássaro inteligente, mas um pouco pervertido. Paguei dez thalers pela belezinha.
112109_name;Zoltan: Patife
112109_tooltip;<keyword=deploy>Mobilização</keyword> (<keyword=melee>Corpo a corpo</keyword>): <keyword=spawn>faz surgir</keyword> Duda: Agitador e o usa.\n<keyword=deploy>Mobilização</keyword> (<keyword=ranged>Longa distância</keyword>): <keyword=spawn>faz surgir</keyword> Duda: Companheiro e o usa.
112110_fluff;Sabe quando os contos de fada não são só contos? Quando as pessoas acreditam.
112110_name;Ciri: Investida
112110_tooltip;Após {Counter} turnos de aliados, no fim do turno, compra uma carta.
112111_fluff;Uma descarga de energia concentrada que espanca tudo em seu caminho. Ótima para quando você esquece as chaves.
112111_name;Geralt: Aard
112111_tooltip;<keyword=deploy>Mobilização</keyword> (<keyword=melee>Corpo a corpo</keyword>): causa {Damage} de dano a {Maxtargets} unidades inimigas e, em seguida, move-as para a fileira de longa distância.
112112_fluff;Dentre os elfos livres havia alguns Aen Saevherne, ou Sábios. Eles eram um enigma, beirando o status de lenda.
112112_name;Avallac'h: Sábio
112112_tooltip;<keyword=deploy>Mobilização</keyword> (<keyword=ranged>Longa distância</keyword>): usa um artefato do seu baralho.
112113_fluff;Uma boa feiticeira deve saber quando conjurar gelo... e quando conjurar fogo.
112113_name;Yennefer: Conjuradora
112113_tooltip;<keyword=zeal>Zelo</keyword>.\n<keyword=order>Ordem</keyword>: causa {Damage} de dano à(s) unidade(s) mais superior(es). <keyword=cooldown>Recarga</keyword>: {Cooldown}.
112201_fluff;Um mímico, entre muitos outros nomes para pessoas como ele: metamorfo, dublê, sósia... ou farsante.
112201_name;Dudu
112201_tooltip;<keyword=deploy>Mobilização</keyword>: se transforma em uma cópia básica de uma unidade inimiga.
112202_fluff;Sou um simples bruxo, Lobo. Não mato dragões, não fraternizo com reis e não pego feiticeiras...
112202_name;Eskel
112202_tooltip;<keyword=deploy>Mobilização</keyword> (<keyword=adrenaline>Adrenalina</keyword> {Adrenaline-1}): <keyword=summon>invoca</keyword> Vesemir e Lambert do seu baralho.
112203_fluff;Se for ser enforcado, peça por água. Tudo pode acontecer antes que a tragam.
112203_name;Vesemir
112203_tooltip;<keyword=deploy>Mobilização</keyword> (<keyword=adrenaline>Adrenalina</keyword> {Adrenaline-1}): <keyword=summon>invoca</keyword> Eskel e Lambert do seu baralho.
112204_fluff;Isso sim é o tipo de negociação que eu entendo.
112204_name;Lambert
